timestamp,kiln_speed_rpm,kiln_main_drive_power_kw,kiln_inlet_temp_c,kiln_outlet_temp_c,kiln_shell_temp_c,kiln_coating_thickness_mm,kiln_refractory_status,burner_flame_temp_c,primary_air_flow_nm3_hr,secondary_air_flow_nm3_hr,coal_feed_rate_tph,oil_injection_lph,kiln_exit_o2_pct,kiln_exit_co_ppm,kiln_exit_no_x_ppm,kiln_exit_so2_ppm,cooler_inlet_temp_c,cooler_outlet_temp_c,cooler_air_flow_nm3_hr,cooler_fan_power_kw,clinker_discharge_rate_tph,cooler_efficiency_pct,specific_heat_consumption_kcal_kg,kiln_specific_power_kwht,high_co_alarm,flame_instability_alarm,kiln_vibration_alarm,cooler_fan_failure_alarm,kiln_feed_tph,kiln_main_burner_fuel_kgph,kiln_secondary_air_temp_c,kiln_exit_gas_temp_c,kiln_O2_pct,clinker_quality_lsf,clinker_quality_silica_modulus,clinker_free_lime_pct,cooler_pressure_drop_pa,kiln_NOx_ppm,kiln_CO_ppm,cooler_exit_temp_c
2025-09-18T21:49:09.813846,3.23,492.71,980.16,1359.46,355.13,27.55,Good,1576.78,8330.97,11950.75,19.88,96.19,3.02,52.32,114.65,13.13,382.51,168.17,9479.96,74.11,125.58,85.56,730.96,24.96,1,0,1,1,197.49,1881.64,885.95,316.46,2.25,97.15,2.2,1.92,140.43,131.11,80.92,138.69
2025-09-18T21:49:09.813869,3.9,601.94,974.44,1364.67,286.94,10.8,Critical,1534.4,5313.21,14624.06,16.87,58.55,4.39,99.37,140.48,13.13,336.39,135.74,5983.77,91.41,171.24,92.79,748.27,23.4,1,0,1,0,159.77,1706.64,830.43,307.02,3.09,96.91,2.78,1.49,118.02,151.86,85.98,173.73
2025-09-18T21:49:09.813891,3.4,544.09,1037.91,1354.53,389.9,20.86,Good,1564.95,7441.32,14129.44,14.86,60.11,4.5,57.95,157.4,18.75,315.4,192.1,6961.4,76.16,147.51,94.28,751.91,27.44,1,1,1,1,180.51,1191.49,828.58,322.6,2.72,94.85,2.23,1.04,195.2,196.84,84.76,127.42
2025-09-18T21:49:09.813913,4.21,534.83,986.28,1423.31,296.76,28.08,Good,1513.23,9506.69,11343.94,14.42,73.74,3.73,63.58,138.69,13.21,304.75,165.38,9082.14,77.86,103.7,87.45,703.02,27.62,1,1,1,1,158.13,1278.8,835.21,351.38,2.06,94.15,2.33,1.36,162.34,134.02,95.0,170.68
2025-09-18T21:49:09.813935,3.81,454.75,1019.86,1445.9,392.11,17.72,Worn,1566.06,6749.21,14111.3,15.61,71.93,3.76,57.72,124.47,15.4,374.6,165.95,9791.1,63.74,148.33,88.99,788.45,25.08,0,0,1,1,151.01,1502.22,866.77,305.07,3.78,95.07,2.22,1.93,147.6,153.25,82.24,101.26
2025-09-18T21:49:09.813957,3.12,622.87,1031.03,1378.44,326.6,26.94,Critical,1540.29,8659.93,13970.02,14.87,52.94,4.87,90.51,170.33,10.5,307.57,171.18,9573.67,67.19,135.22,87.63,737.92,24.91,0,0,1,1,165.23,1172.87,801.56,334.33,4.52,99.02,2.78,1.12,110.29,145.83,69.37,177.12
2025-09-18T21:49:09.813979,3.08,454.09,953.19,1373.08,339.33,20.55,Critical,1534.52,8529.8,12459.33,11.29,76.84,3.59,67.45,107.51,11.08,308.23,106.39,7575.64,93.49,180.69,87.75,721.09,25.23,1,1,1,1,198.68,1075.72,888.27,322.54,3.44,99.51,2.77,1.98,160.61,182.54,76.91,165.81
2025-09-18T21:49:09.814001,3.94,523.45,1026.22,1404.79,363.06,22.79,Good,1514.92,9639.5,19200.48,15.4,96.66,2.15,88.78,160.64,13.67,323.58,132.38,7010.3,70.57,181.99,92.56,714.99,23.84,0,1,0,0,156.2,1203.6,896.06,362.7,3.98,95.0,2.19,1.8,142.12,139.64,96.93,146.81
2025-09-18T21:49:09.814024,4.06,585.22,1018.83,1437.08,333.47,28.99,Critical,1595.27,5594.58,17440.95,14.73,60.41,2.27,90.63,120.45,11.51,382.08,196.64,8413.07,77.29,115.1,92.66,765.8,27.62,0,1,0,1,163.77,1077.26,828.0,331.89,3.57,94.56,2.27,1.36,123.92,167.67,95.05,157.36
2025-09-18T21:49:09.814046,3.24,601.85,999.25,1376.09,293.41,17.72,Worn,1511.11,7684.79,14301.87,10.03,70.81,2.88,89.32,126.5,13.23,307.93,132.88,5891.16,54.28,194.44,86.1,727.1,24.87,0,1,1,0,178.28,1708.75,836.41,387.7,3.85,91.7,2.27,1.73,152.77,195.02,97.15,130.47
2025-09-18T21:49:09.814068,3.94,616.06,1042.98,1397.64,250.18,11.31,Critical,1536.85,8486.92,12961.3,14.12,81.32,3.29,51.21,172.9,18.59,341.8,182.46,7448.32,60.64,143.31,92.92,777.57,21.75,1,1,1,1,179.53,1008.07,817.71,309.29,2.07,90.56,2.19,1.79,146.29,140.4,66.62,151.16
2025-09-18T21:49:09.814090,3.52,597.18,962.76,1371.72,268.78,16.34,Good,1591.94,9340.44,19770.47,12.06,67.68,3.49,52.69,147.8,17.83,300.19,152.77,6240.42,58.96,177.36,87.55,793.72,27.16,1,1,0,0,188.15,1014.94,875.58,394.11,3.46,92.1,2.91,1.15,163.31,183.12,72.92,126.84
2025-09-18T21:49:09.814112,3.27,493.42,1015.05,1413.3,339.42,19.06,Worn,1520.85,9181.99,17829.84,15.66,81.72,3.4,77.89,112.12,18.36,384.36,199.89,9179.64,68.06,191.05,92.73,741.32,26.02,0,1,0,0,152.42,1724.09,895.33,371.53,4.92,94.63,2.7,1.66,184.52,167.54,75.39,182.09
2025-09-18T21:49:09.814134,3.3,483.94,977.63,1401.68,393.95,20.32,Good,1590.91,7750.12,12330.43,14.95,68.5,4.39,52.45,197.36,14.05,321.71,115.95,7594.71,76.01,135.05,92.21,789.75,26.11,0,0,0,0,160.87,1702.47,841.84,359.33,3.71,99.38,2.96,1.24,172.46,169.53,56.81,138.11
2025-09-18T21:49:09.814156,3.51,518.65,1005.08,1437.83,340.14,23.89,Critical,1568.04,5468.0,19059.57,18.22,91.64,3.29,83.82,150.93,17.34,304.35,112.86,6863.2,66.74,136.8,94.12,707.4,24.71,1,0,1,1,199.71,1835.6,897.65,307.41,4.1,92.87,2.62,1.59,139.59,113.33,56.04,111.85
2025-09-18T21:49:09.814178,3.71,587.13,966.57,1378.67,265.91,12.48,Worn,1573.98,7597.83,12828.71,10.09,51.79,2.04,72.39,141.72,15.14,319.56,167.13,6100.32,54.34,161.17,90.8,731.14,24.52,1,0,0,0,193.9,1568.08,863.11,362.36,2.64,90.71,2.37,1.22,117.05,113.54,87.96,159.56
2025-09-18T21:49:09.814200,4.12,596.34,993.48,1402.05,298.05,12.17,Critical,1521.83,6662.03,17450.41,15.04,93.76,4.65,79.71,135.07,14.67,336.84,138.27,6267.49,93.32,146.64,92.64,793.66,22.04,0,1,1,1,154.48,1103.99,897.7,310.81,4.31,91.23,2.61,1.71,126.69,104.35,76.93,131.09
2025-09-18T21:49:09.814222,4.32,521.04,981.68,1417.24,314.43,21.72,Good,1560.7,8469.48,15570.66,15.95,55.6,3.44,74.04,174.79,15.26,380.31,145.58,8623.24,75.93,193.53,89.03,774.11,24.06,1,1,1,1,177.69,1807.85,831.01,354.81,3.08,97.91,2.14,1.57,163.09,156.3,73.23,121.5
2025-09-18T21:49:09.814244,3.8,572.55,992.94,1360.78,297.35,25.87,Worn,1538.6,5996.15,18050.97,10.42,51.05,2.54,95.61,178.74,10.74,314.68,193.61,9410.84,79.68,161.82,91.5,792.71,28.69,0,0,0,0,164.24,1062.1,882.17,338.65,3.45,93.38,2.99,1.94,121.29,109.59,61.74,114.59
2025-09-18T21:49:09.814266,3.27,502.75,953.94,1351.25,351.0,21.2,Good,1588.36,9111.69,16694.02,14.66,68.31,3.48,62.85,138.47,17.3,343.45,153.2,6805.55,62.54,106.3,90.16,746.86,25.82,1,1,0,1,170.63,1076.06,827.15,317.93,4.99,97.97,2.4,1.77,101.42,113.15,86.19,117.57
2025-09-18T21:49:09.814288,3.22,605.53,1049.76,1434.97,345.01,20.62,Critical,1565.25,8570.85,14819.97,16.92,95.16,4.67,66.53,171.63,13.99,317.73,182.16,9539.28,88.28,164.43,92.05,790.42,28.94,0,1,0,0,186.81,1788.84,883.37,333.65,3.72,95.04,2.8,1.41,135.9,163.03,85.37,124.16
2025-09-18T21:49:09.814310,3.87,625.3,953.74,1443.43,281.45,14.53,Worn,1535.83,6646.32,17931.02,16.39,95.37,3.68,97.62,124.03,15.78,378.51,193.58,6178.09,80.49,145.66,94.74,762.23,24.19,0,0,1,1,175.89,1035.1,877.84,373.42,3.99,99.09,2.28,1.59,173.02,118.68,81.9,164.08
2025-09-18T21:49:09.814332,3.18,454.89,973.68,1357.47,257.79,15.53,Critical,1540.35,7269.54,13282.81,13.84,76.88,2.53,96.96,170.45,14.54,339.79,126.92,7446.97,95.44,160.36,93.36,718.49,22.9,0,1,1,1,160.15,1903.83,865.34,393.0,3.08,91.39,2.62,1.44,137.92,160.75,94.26,134.45
2025-09-18T21:49:09.814363,4.24,572.07,980.28,1447.41,250.31,27.49,Worn,1536.33,7157.05,18760.07,14.01,57.26,4.05,82.3,140.21,11.76,317.0,152.97,7846.77,68.33,180.68,87.12,737.82,25.42,0,1,1,0,194.45,1079.76,805.35,344.93,3.37,98.82,2.92,1.85,117.6,191.59,53.18,100.89
2025-09-18T21:49:09.814394,3.43,586.57,1046.76,1387.63,384.55,25.52,Good,1531.6,7083.98,19087.06,10.86,91.36,4.65,80.33,105.18,14.89,378.05,181.32,7816.85,78.56,184.47,86.04,786.46,25.7,0,1,1,1,175.47,1846.91,852.04,327.67,3.03,90.42,2.58,1.05,171.79,116.54,86.39,190.98
2025-09-18T21:49:09.814419,3.1,554.58,988.8,1386.13,319.94,12.75,Worn,1530.07,6272.13,16551.43,18.44,94.14,3.69,61.53,145.29,15.47,310.69,165.18,8441.06,73.58,164.9,91.49,780.17,29.23,0,0,0,1,184.61,1759.08,888.23,347.28,2.0,95.61,2.37,1.04,114.51,112.26,95.28,175.18
2025-09-18T21:49:09.814442,3.43,537.12,999.31,1355.97,378.14,23.18,Worn,1539.46,6681.77,19710.8,19.48,97.55,3.24,72.56,129.99,10.53,307.58,192.28,8547.71,57.69,132.08,90.51,733.73,21.72,0,1,1,0,159.29,1201.82,801.39,324.03,2.6,95.8,2.98,1.37,171.99,141.38,72.42,109.43
2025-09-18T21:49:09.814464,4.25,555.07,1021.19,1439.62,268.41,16.74,Worn,1544.01,8689.3,15585.33,13.08,95.41,3.21,88.2,168.83,16.86,393.32,194.31,7399.4,76.2,127.27,90.29,769.87,24.05,1,0,0,0,199.02,1433.79,809.77,383.84,2.84,96.96,2.71,1.0,111.33,149.86,92.12,174.98
2025-09-18T21:49:09.814486,3.8,566.5,971.92,1362.03,371.49,16.12,Critical,1518.75,5719.24,18936.41,13.9,65.38,2.66,74.1,124.89,13.48,315.12,188.83,6182.77,72.32,188.65,87.88,714.76,20.54,0,1,0,0,186.06,1600.62,847.49,348.99,2.22,97.93,2.96,1.56,179.55,194.17,79.75,149.19
2025-09-18T21:49:09.814508,3.43,484.06,1033.57,1447.75,262.81,25.66,Worn,1577.93,9623.4,18487.02,11.99,73.86,2.86,65.06,156.71,11.41,364.03,123.46,9809.51,71.29,171.67,91.56,722.62,20.89,0,1,0,1,184.19,1903.83,803.76,349.18,3.03,97.8,2.46,1.64,112.04,136.06,72.61,152.28
2025-09-18T21:49:09.814530,3.72,516.88,992.61,1385.41,302.05,10.25,Critical,1512.56,9613.7,16299.15,10.04,51.29,2.07,92.19,136.19,10.22,351.1,134.09,6102.21,93.81,108.0,94.58,742.41,21.69,0,0,0,0,163.69,1603.55,868.84,332.36,2.13,99.77,2.14,1.02,159.24,147.01,97.54,186.55
2025-09-18T21:49:09.814552,3.37,491.36,1006.19,1368.69,329.63,24.31,Good,1526.65,7786.63,15108.94,18.65,76.14,3.95,71.77,128.49,15.88,327.35,153.81,5429.43,56.67,125.61,92.66,729.7,27.77,1,1,0,1,166.16,1945.45,848.83,323.6,2.48,91.91,2.04,1.26,138.59,160.24,57.25,113.27
2025-09-18T21:49:09.814574,4.48,648.08,979.1,1372.17,377.41,22.67,Worn,1583.49,7027.69,18972.32,17.24,72.18,2.49,85.25,151.82,17.32,341.13,149.61,8572.23,85.28,138.27,89.75,797.1,27.33,0,1,1,1,191.89,1817.02,827.72,368.71,2.32,99.85,2.14,1.4,110.21,105.03,74.79,129.57
2025-09-18T21:49:09.814596,3.68,626.64,980.43,1449.61,251.85,25.42,Critical,1552.56,6054.4,13958.53,12.47,59.81,4.62,63.04,155.68,11.79,352.71,123.34,5009.03,75.81,191.99,94.1,719.95,20.94,1,0,1,0,164.0,1691.2,807.64,321.51,4.54,92.44,2.48,1.0,166.43,190.28,95.23,146.96
2025-09-18T21:49:09.814618,4.39,466.2,973.51,1413.72,320.36,10.11,Critical,1554.31,5204.82,10350.25,18.41,72.7,4.7,72.92,171.55,19.45,321.45,166.26,6557.66,68.22,195.42,93.91,732.49,27.79,0,0,0,1,159.82,1658.12,863.33,376.22,4.93,93.69,2.44,1.21,150.99,184.01,75.34,109.37
2025-09-18T21:49:09.814640,3.64,590.31,1021.22,1425.23,294.4,23.01,Worn,1593.62,9172.6,13444.04,18.77,98.75,2.96,99.46,154.46,10.61,319.36,110.06,5767.89,89.92,197.94,91.24,745.11,24.94,0,0,1,1,172.83,1058.87,844.57,315.44,2.89,92.13,2.73,1.99,178.97,103.57,98.56,150.78
2025-09-18T21:49:09.814662,3.1,576.53,988.4,1439.06,342.81,10.94,Worn,1588.92,6750.58,13705.07,13.11,56.28,2.12,90.09,187.86,13.69,336.67,158.49,8650.99,54.83,125.81,90.84,730.83,23.97,0,1,1,1,178.03,1080.7,893.11,380.78,2.87,93.76,2.95,1.71,175.47,152.89,67.29,178.84
2025-09-18T21:49:09.814684,4.42,529.45,1030.73,1449.08,383.2,22.32,Worn,1551.32,6718.14,11457.66,11.13,71.68,4.24,94.4,158.0,19.78,385.36,191.36,6003.06,59.85,131.23,93.36,736.86,29.16,1,0,1,1,194.63,1098.84,883.11,315.84,2.58,95.5,2.7,1.16,121.4,161.96,69.92,117.35
2025-09-18T21:49:09.814707,3.6,636.21,1036.3,1401.34,302.37,19.23,Critical,1530.08,6708.4,13508.43,18.7,58.72,3.99,85.13,125.39,14.23,330.65,198.09,6558.22,64.27,178.18,87.17,750.92,24.67,0,0,1,1,164.41,1143.73,871.92,389.22,4.52,94.48,2.49,1.15,179.69,165.34,59.42,175.54
2025-09-18T21:49:09.814729,4.1,499.51,993.48,1375.34,328.78,15.51,Good,1571.08,6245.71,16736.61,16.01,61.42,3.17,61.18,186.13,16.19,329.38,182.76,6822.58,62.58,135.85,85.56,720.24,28.02,1,1,1,1,190.84,1015.61,852.83,379.51,4.56,97.78,2.1,1.5,198.86,152.69,76.45,198.07
2025-09-18T21:49:09.814750,3.24,489.68,1028.1,1365.8,337.98,28.66,Good,1516.37,6915.14,10111.27,16.75,65.97,3.1,64.26,130.74,13.79,300.72,152.17,9611.39,55.92,188.23,89.5,705.49,27.76,0,1,1,1,187.19,1113.99,822.75,306.89,3.2,92.05,2.95,1.51,133.0,145.74,59.73,173.13
2025-09-18T21:49:09.814772,3.22,490.65,969.76,1392.21,281.52,28.22,Good,1591.92,7460.4,18424.88,10.42,80.9,4.94,92.51,180.93,19.8,383.24,134.46,8050.74,92.92,131.86,87.77,750.24,24.8,1,0,1,1,153.52,1847.86,862.58,310.99,4.56,90.02,2.1,1.57,175.23,121.97,51.37,115.77
2025-09-18T21:49:09.814795,3.57,576.48,992.51,1374.19,363.46,16.2,Worn,1531.63,7929.07,12206.75,17.97,67.44,3.62,87.04,120.58,12.25,322.7,171.73,8260.41,73.15,161.39,93.99,729.83,24.46,0,0,0,0,194.82,1893.53,875.28,390.71,3.91,96.88,2.26,1.68,139.85,171.56,55.32,134.58
2025-09-18T21:49:09.814817,3.94,629.93,979.13,1351.96,312.99,26.89,Worn,1512.97,9495.41,17593.25,13.05,78.53,4.16,99.28,138.84,16.63,331.51,121.02,5139.29,76.2,117.49,87.9,735.48,24.75,0,0,1,1,193.71,1827.25,848.3,343.74,3.19,92.9,2.4,1.67,171.72,192.68,89.81,138.04
2025-09-18T21:49:09.814839,3.59,540.61,1040.37,1404.28,299.25,25.79,Critical,1548.78,7024.16,19004.65,13.46,84.96,3.0,91.21,101.37,14.4,386.41,169.71,9858.25,72.08,142.07,86.6,794.62,26.09,0,1,0,0,158.1,1691.8,863.22,343.32,4.83,94.25,2.11,1.62,148.23,118.07,87.06,165.14
2025-09-18T21:49:09.814861,4.41,602.46,992.11,1418.38,399.22,11.13,Worn,1551.22,6660.3,11999.36,13.77,87.94,3.34,95.42,138.73,17.23,390.6,191.45,7165.95,90.45,176.64,91.3,790.72,26.63,0,0,0,1,161.32,1906.34,840.47,335.53,4.66,99.23,2.41,1.3,195.66,175.56,73.17,142.4
2025-09-18T21:49:09.814883,3.8,587.94,988.79,1351.02,320.08,11.54,Critical,1555.85,6475.79,13334.02,10.0,51.25,4.73,82.24,165.76,11.02,363.89,104.11,7417.93,70.3,148.98,94.68,798.97,26.42,0,1,0,0,156.19,1532.6,835.07,348.92,2.5,96.15,2.83,1.09,133.64,112.94,58.18,165.38
2025-09-18T21:49:09.814905,3.56,592.69,1009.55,1421.41,330.81,28.48,Good,1549.55,8626.11,14507.35,17.32,71.73,4.14,71.77,124.12,18.92,379.1,194.8,7194.73,76.39,102.24,89.37,729.17,20.45,0,0,1,1,174.66,1217.18,803.0,354.93,3.42,95.74,2.74,1.95,136.67,152.96,55.46,142.46
2025-09-18T21:49:09.814927,4.46,539.42,1010.83,1368.21,385.62,28.34,Good,1540.17,5657.58,16447.53,11.12,69.49,4.5,81.21,195.67,17.98,359.11,146.63,5256.3,88.09,133.66,86.83,720.96,21.14,0,1,0,0,188.26,1839.58,825.06,380.57,4.66,94.25,2.56,1.47,193.45,160.23,84.39,134.11
2025-09-18T21:49:09.814950,3.69,547.74,1038.77,1363.56,397.86,10.73,Good,1512.37,7469.79,17337.23,12.18,71.45,4.13,73.71,103.37,16.97,323.36,149.85,5356.01,63.93,101.69,85.03,713.9,24.39,0,1,0,1,156.17,1825.46,879.41,310.21,3.21,94.21,2.71,1.55,175.88,159.92,51.07,161.42
2025-09-18T21:49:09.814972,3.89,567.75,1038.6,1431.7,336.8,22.62,Critical,1549.69,5527.27,13190.39,14.8,67.02,3.15,90.57,108.37,13.44,337.57,101.3,9745.35,92.22,125.25,87.32,732.22,24.03,0,1,0,0,190.66,1726.62,895.78,317.33,4.19,95.82,2.29,1.32,165.82,152.57,79.17,130.81
2025-09-18T21:49:09.814993,3.35,519.38,1028.43,1367.15,308.02,15.13,Worn,1544.74,6602.76,14080.3,17.72,77.49,4.54,80.43,187.87,16.54,303.59,142.19,7337.45,58.89,175.02,93.28,744.1,21.59,0,1,1,1,162.52,1797.87,862.54,365.3,3.2,97.97,2.24,1.85,116.39,199.13,61.04,105.52
2025-09-18T21:49:09.815015,3.85,645.36,985.73,1426.82,287.72,23.06,Good,1530.25,6254.57,10959.58,14.01,95.01,2.43,53.15,148.98,14.6,338.45,176.47,8789.99,76.54,110.93,87.07,748.73,22.54,1,1,0,0,153.16,1864.63,810.74,363.73,3.67,96.58,2.61,1.47,186.44,141.66,70.2,195.22
2025-09-18T21:49:09.815037,4.4,607.07,1019.49,1374.87,346.89,10.09,Critical,1558.11,5744.79,19880.73,14.32,77.53,2.57,88.69,184.51,10.83,396.95,125.3,6147.99,95.65,191.31,88.26,720.18,27.47,0,1,1,1,163.59,1780.84,861.22,385.17,4.76,96.66,2.79,1.64,194.04,165.69,57.86,105.7
2025-09-18T21:49:09.815059,4.41,503.85,981.81,1431.85,383.6,13.43,Critical,1561.79,5113.33,14596.77,11.25,64.52,4.81,65.69,127.65,13.12,377.36,142.88,5013.69,75.74,191.31,87.42,774.87,23.97,1,1,1,0,171.12,1616.19,816.87,391.36,2.85,95.62,2.84,1.24,102.0,110.54,98.21,137.94
2025-09-18T21:49:09.815081,4.37,566.34,1013.79,1398.98,399.45,20.3,Good,1571.13,9216.85,11309.26,13.0,78.08,2.65,88.53,120.68,14.11,338.7,144.66,8069.96,66.25,155.88,88.74,714.92,25.91,1,1,1,0,190.45,1967.58,842.98,384.81,2.7,93.0,2.49,1.47,131.13,145.84,82.55,189.35
2025-09-18T21:49:09.815103,3.99,510.9,984.64,1361.08,274.48,15.04,Good,1586.29,9057.18,10901.85,13.78,80.01,3.61,60.61,131.45,16.12,386.24,117.4,9301.16,61.72,177.57,93.11,744.51,23.58,0,0,1,1,161.05,1175.69,810.09,392.57,3.65,96.44,2.07,1.74,147.94,196.16,81.39,129.53
2025-09-18T21:49:09.815125,3.3,605.06,968.21,1361.18,380.53,15.25,Good,1591.18,6070.07,18095.19,15.04,66.65,4.3,63.87,175.66,12.2,395.46,130.25,9767.18,87.7,104.83,91.91,711.37,27.6,1,0,1,1,180.15,1735.84,844.75,383.43,2.38,98.41,2.84,1.4,154.42,110.61,55.36,163.93
2025-09-18T21:49:09.815148,3.28,527.48,953.27,1384.5,348.0,22.98,Worn,1578.28,8341.42,17784.78,12.44,50.29,3.18,69.09,163.04,16.11,341.9,170.22,7691.06,84.75,151.14,85.46,792.58,21.13,0,1,1,0,158.65,1458.11,858.18,307.07,2.75,97.3,2.82,1.51,197.32,156.15,70.4,123.81
2025-09-18T21:49:09.815169,3.56,550.49,1038.17,1425.05,317.43,24.43,Good,1594.13,9959.67,18932.38,13.75,58.86,2.31,84.6,140.56,14.76,313.37,103.61,5864.02,74.64,169.8,93.89,793.6,28.36,1,0,0,1,198.06,1925.11,853.96,337.82,3.72,91.5,2.09,1.74,148.66,146.8,70.49,118.56
2025-09-18T21:49:09.815191,3.79,597.86,960.0,1361.09,339.71,13.24,Critical,1583.4,8251.86,10497.48,14.72,60.6,4.61,56.44,127.67,10.32,359.83,130.79,7182.73,93.31,184.44,86.37,759.8,23.29,0,1,0,0,196.87,1161.97,848.38,343.87,3.65,99.07,2.83,1.12,176.26,147.25,82.87,112.9
2025-09-18T21:49:09.815213,4.31,596.13,1045.36,1375.7,369.05,16.82,Critical,1566.33,7359.04,11237.88,18.85,58.97,2.05,83.96,107.71,10.55,328.64,124.86,7538.43,55.6,191.96,85.79,729.81,28.74,0,1,1,0,178.07,1075.62,865.7,305.4,4.71,98.72,2.02,1.18,127.78,111.06,99.48,102.27
2025-09-18T21:49:09.815235,3.05,582.32,997.49,1417.94,364.93,19.93,Worn,1551.83,8737.61,17933.79,13.11,94.96,4.79,59.72,178.38,19.5,384.2,149.51,7493.89,54.01,160.01,88.18,710.4,27.55,1,1,1,1,175.66,1883.02,823.31,320.61,3.32,93.15,2.07,1.35,168.44,117.83,53.83,176.63
2025-09-18T21:49:09.815256,3.41,474.96,972.31,1401.75,290.93,28.13,Good,1505.65,5925.41,10097.11,18.91,91.38,2.48,82.81,150.63,17.63,322.98,160.96,6903.79,56.28,102.96,87.42,740.77,28.29,1,0,1,1,177.27,1877.18,824.88,325.83,4.42,97.42,2.02,1.96,119.52,181.14,60.16,127.07
