timestamp,silo_level_pct,silo_pressure_mbar,silo_temp_c,aeration_airflow_nm3_hr,silo_pressure_pa,packing_machine_speed_bags_min,packing_machine_efficiency_pct,packing_machine_power_kw,bag_weight_kg,bag_reject_rate_pct,rejected_bags_count,packing_machine_status,bulk_loading_rate_tph,truck_loading_time_min,inventory_turnover_rate,daily_dispatch_tonnes,dispatch_rate_tph,inventory_level_tonnes,customer_complaints_count,silo_overpressure_alarm,packing_machine_jam_alarm,truck_delay_alarm,dust_emission_mgNm3
2025-09-18T21:49:09.826112,74.95,67.8,42.18,4588.78,8719.22,91.26,92.33,78.67,52.82,4.51,5,0,171.05,18.25,1.28,1050.21,178.25,693.71,3,1,1,0,12.77
2025-09-18T21:49:09.826126,67.17,97.49,58.38,4899.5,5463.44,119.0,86.81,53.88,54.18,4.85,2,0,164.12,11.59,1.29,1265.89,159.47,668.95,2,1,1,1,39.27
2025-09-18T21:49:09.826139,56.3,92.48,59.49,4075.8,9155.32,88.3,91.82,51.91,53.96,1.82,3,1,100.27,18.47,4.1,1540.09,189.8,640.62,1,0,0,1,13.93
2025-09-18T21:49:09.826152,55.08,74.22,44.61,4983.15,7793.29,104.31,92.53,95.87,52.93,1.32,6,1,135.96,16.22,2.8,1282.19,162.36,664.29,1,0,1,0,32.19
2025-09-18T21:49:09.826165,65.08,59.4,56.55,4777.32,6679.33,83.8,86.54,74.55,50.07,4.07,4,1,176.59,10.31,1.13,1743.78,127.63,726.84,0,0,1,1,26.02
2025-09-18T21:49:09.826179,90.55,114.37,45.71,4864.02,8504.07,111.49,87.71,79.01,53.9,2.56,2,1,155.57,14.06,2.49,1113.66,198.68,633.44,3,1,1,0,17.62
2025-09-18T21:49:09.826192,53.35,85.23,46.69,3917.69,7973.75,109.51,91.31,70.88,52.89,4.29,2,0,158.09,15.2,3.12,1013.12,142.28,704.91,5,1,0,0,42.7
2025-09-18T21:49:09.826206,79.73,85.91,48.61,4354.93,5053.79,89.9,92.88,54.42,53.54,4.94,3,0,197.93,12.5,4.34,1309.17,184.2,769.03,3,1,1,0,28.64
2025-09-18T21:49:09.826220,91.24,96.01,51.66,3256.54,5801.11,81.93,93.91,97.08,54.42,1.78,1,0,123.58,19.3,1.33,1169.06,165.47,917.0,4,0,0,0,16.37
2025-09-18T21:49:09.826233,89.82,113.19,56.15,3474.5,6176.77,98.65,94.02,66.68,50.62,1.54,3,1,198.05,10.66,1.83,1076.91,121.6,770.67,2,1,0,1,33.65
2025-09-18T21:49:09.826246,62.25,92.14,41.74,3625.26,5958.5,89.89,90.13,95.52,50.29,1.36,1,1,140.04,10.71,3.75,1854.79,132.8,990.23,1,0,0,0,49.75
2025-09-18T21:49:09.826260,40.46,117.79,59.0,3452.86,7043.98,82.57,92.11,77.8,50.85,2.92,3,1,132.01,16.93,4.28,1892.66,198.65,927.69,3,1,0,1,45.66
2025-09-18T21:49:09.826273,63.56,56.7,53.05,4624.33,6779.92,100.7,85.99,72.92,54.42,1.91,0,1,176.55,12.05,4.22,1496.08,178.84,962.14,4,0,1,0,12.25
2025-09-18T21:49:09.826286,40.71,86.34,48.24,3957.89,6023.39,109.0,90.49,94.52,54.01,3.28,8,1,124.17,14.96,3.2,1536.75,156.53,840.21,0,0,1,1,36.93
2025-09-18T21:49:09.826299,44.18,97.89,42.7,3096.42,9658.28,80.82,93.97,61.79,51.04,4.3,7,1,138.84,12.54,2.89,1404.15,181.01,596.94,5,1,0,0,45.31
2025-09-18T21:49:09.826312,66.41,106.92,52.12,3601.07,6957.03,95.92,85.33,77.34,53.7,4.57,6,1,161.46,19.95,2.87,1267.54,111.28,897.14,1,1,1,1,39.47
2025-09-18T21:49:09.826326,91.81,98.58,46.23,3308.32,5169.62,92.59,89.83,77.77,54.96,2.05,2,0,132.63,15.74,4.14,1446.63,149.92,655.1,4,1,0,0,33.34
2025-09-18T21:49:09.826339,52.42,91.2,57.46,3652.03,5882.5,80.02,90.6,80.49,50.36,2.75,8,1,192.29,18.57,1.58,1860.71,169.05,530.54,3,1,1,0,20.68
2025-09-18T21:49:09.826353,40.1,65.29,47.45,4509.14,6101.54,101.83,89.99,68.75,54.19,3.3,5,1,193.51,18.71,1.46,1571.63,188.72,845.85,5,0,0,1,17.28
2025-09-18T21:49:09.826366,62.16,102.97,58.9,3659.6,6284.75,109.95,94.2,59.25,53.41,3.8,8,0,136.85,17.24,3.18,1394.66,127.77,772.31,5,1,0,1,28.96
2025-09-18T21:49:09.826379,79.56,60.01,42.44,3303.53,7140.5,109.29,92.37,74.4,52.55,2.43,10,1,129.99,18.71,2.51,1055.3,141.8,518.19,0,1,0,1,10.23
2025-09-18T21:49:09.826393,80.33,50.36,42.88,3774.32,7751.07,112.4,89.91,84.89,53.05,2.81,9,1,114.71,13.63,4.89,1311.71,117.67,514.94,5,1,1,1,18.49
2025-09-18T21:49:09.826406,64.96,72.96,54.64,4367.8,5058.16,99.46,88.6,63.04,54.5,2.99,5,1,132.26,13.86,3.36,1172.9,130.09,757.22,4,1,0,1,22.11
2025-09-18T21:49:09.826420,81.34,84.81,53.23,4540.59,5576.59,99.74,91.85,57.27,51.67,4.58,2,1,117.47,19.25,4.31,1295.89,126.93,524.33,4,0,1,1,12.11
2025-09-18T21:49:09.826433,88.56,58.68,52.47,3526.82,7001.57,89.24,94.7,79.23,50.86,2.48,3,1,197.37,19.43,3.06,1604.74,139.36,633.05,5,0,1,1,44.37
2025-09-18T21:49:09.826446,59.79,78.07,59.75,4072.63,8416.09,103.25,90.96,69.03,52.33,2.14,9,1,156.4,13.41,2.2,1342.87,136.25,579.92,5,1,0,0,46.01
2025-09-18T21:49:09.826459,75.07,58.03,56.7,4354.07,9931.55,94.59,86.29,64.98,50.55,4.91,6,1,147.69,12.09,3.76,1694.75,170.66,817.39,2,0,0,0,36.97
2025-09-18T21:49:09.826472,71.54,94.35,44.53,3404.65,5938.54,93.17,91.14,56.86,52.02,3.47,3,1,105.51,12.04,4.01,1894.04,137.53,630.93,4,1,1,1,36.57
2025-09-18T21:49:09.826486,74.63,57.21,46.32,4636.99,9301.69,105.93,88.02,60.61,53.05,1.63,10,0,169.81,13.52,2.56,1812.47,145.94,584.14,2,1,1,1,42.88
2025-09-18T21:49:09.826499,90.37,82.63,50.73,3819.45,5954.78,100.54,91.13,79.52,53.09,2.61,6,0,174.15,15.46,2.06,1295.09,180.19,962.71,5,0,1,0,25.46
2025-09-18T21:49:09.826512,62.83,66.91,52.5,4086.72,8326.45,109.41,92.39,65.36,50.14,1.64,2,1,171.91,17.64,1.28,1199.81,114.88,862.6,4,1,0,1,47.89
2025-09-18T21:49:09.826525,69.88,96.41,51.93,4227.44,5373.03,84.44,94.78,97.99,53.49,3.45,0,1,115.58,16.82,3.78,1936.43,103.94,682.43,0,0,0,1,12.57
2025-09-18T21:49:09.826539,89.86,114.58,41.95,4439.19,9703.61,95.02,93.84,96.0,52.98,1.51,4,1,159.27,20.0,3.21,1245.24,144.27,582.17,1,1,1,1,12.12
2025-09-18T21:49:09.826552,94.47,79.72,43.13,3495.4,5485.78,119.24,87.27,57.31,50.48,4.58,9,1,198.76,13.7,3.65,1307.62,109.61,524.58,2,1,0,1,13.63
2025-09-18T21:49:09.826566,68.31,76.58,40.79,3405.59,6514.32,97.78,85.89,67.28,54.62,3.81,6,1,128.22,19.28,2.22,1530.26,145.39,525.24,2,0,0,0,19.15
2025-09-18T21:49:09.826580,92.13,65.8,50.97,3297.32,8165.9,111.93,86.1,75.96,50.39,3.98,9,1,140.83,14.47,3.28,1955.1,164.98,819.91,3,0,0,1,38.51
2025-09-18T21:49:09.826593,73.9,92.3,48.21,4028.55,5257.22,114.06,92.17,67.61,50.9,4.57,5,1,148.76,15.95,1.95,1036.82,191.64,639.65,4,0,1,1,20.12
2025-09-18T21:49:09.826607,48.88,53.82,56.9,4463.34,5052.28,81.28,86.36,73.27,51.02,4.73,3,1,154.9,18.25,4.64,1417.93,157.87,506.91,5,1,0,1,30.53
2025-09-18T21:49:09.826620,86.78,117.86,44.46,4974.06,8335.56,91.78,91.88,53.24,53.64,4.8,1,1,198.06,19.99,3.76,1115.96,120.29,905.55,0,0,1,0,10.86
2025-09-18T21:49:09.826633,67.11,58.38,44.47,4635.98,8557.35,100.52,87.25,62.78,53.15,4.04,9,1,176.91,16.29,4.37,1370.49,157.05,841.05,2,1,1,0,46.73
2025-09-18T21:49:09.826647,60.62,93.48,49.34,4441.81,5652.75,88.7,85.29,58.64,51.95,3.77,0,1,173.33,19.98,1.36,1097.73,125.92,879.58,5,1,1,1,21.29
2025-09-18T21:49:09.826660,60.58,64.22,48.48,3268.11,5943.74,93.02,93.96,74.24,50.61,4.41,4,1,172.88,13.86,3.91,1615.86,191.45,502.82,1,0,0,1,16.2
2025-09-18T21:49:09.826673,69.2,57.83,48.47,4835.97,8434.0,105.05,86.77,64.8,54.69,3.3,1,1,114.22,13.28,3.58,1185.15,154.89,843.9,0,1,1,0,19.47
2025-09-18T21:49:09.826686,86.2,59.36,55.56,3511.03,5864.39,108.92,91.68,57.08,53.18,1.74,2,1,146.14,14.37,1.52,1098.2,199.43,721.2,2,0,0,1,14.85
2025-09-18T21:49:09.826700,51.67,73.13,59.72,4944.13,5135.24,118.47,88.31,79.34,54.87,1.93,2,1,109.28,10.86,2.41,1149.22,152.99,620.16,3,0,1,0,16.65
2025-09-18T21:49:09.826713,58.78,103.06,51.87,4358.89,7344.12,83.7,91.79,89.56,50.6,2.58,7,0,117.81,10.25,1.04,1180.14,108.34,829.2,5,0,0,0,15.57
2025-09-18T21:49:09.826727,46.21,107.64,52.35,4828.27,5189.6,103.53,86.81,79.7,54.37,4.23,6,1,179.75,13.96,2.8,1472.15,145.88,571.41,4,0,1,0,12.14
2025-09-18T21:49:09.826741,42.54,65.96,44.79,4770.95,5326.43,116.57,91.73,68.78,54.29,1.48,1,0,131.05,14.19,2.0,1385.89,144.99,930.3,0,0,1,0,31.88
2025-09-18T21:49:09.826754,75.01,116.4,57.4,4952.78,8808.64,96.12,94.84,73.15,50.33,1.66,8,1,197.26,12.94,4.95,1764.04,191.9,860.69,3,1,0,1,40.98
2025-09-18T21:49:09.826768,48.96,58.88,44.89,3559.22,8141.83,106.7,87.69,67.97,52.56,3.89,10,1,158.18,14.04,2.43,1166.59,132.31,813.54,5,0,1,0,45.31
2025-09-18T21:49:09.826781,57.62,50.5,41.83,3852.76,5566.99,118.18,94.0,80.19,53.79,4.09,8,0,191.42,11.15,4.23,1217.21,172.21,875.13,4,0,0,0,17.33
2025-09-18T21:49:09.826795,94.21,64.17,59.02,4411.79,8189.21,106.36,88.86,84.2,52.41,2.98,7,0,101.88,15.78,2.3,1901.13,189.58,929.02,4,1,1,0,38.19
2025-09-18T21:49:09.826808,90.47,57.72,52.29,4356.02,9733.81,112.25,89.75,70.7,52.27,2.06,4,1,101.08,15.84,4.8,1720.58,102.33,504.81,4,0,0,0,25.92
2025-09-18T21:49:09.826822,50.47,100.42,44.81,3234.33,9001.96,116.66,86.8,86.24,52.03,3.03,5,1,151.55,18.8,1.12,1433.92,160.34,576.84,3,0,1,1,21.11
2025-09-18T21:49:09.826835,82.24,50.48,51.55,3989.54,7923.28,83.06,85.23,57.41,51.63,4.87,8,0,194.2,13.0,4.52,1386.62,146.3,715.99,2,0,0,1,21.73
2025-09-18T21:49:09.826848,68.07,112.88,43.46,3076.53,7348.14,96.91,86.14,73.51,54.99,1.36,1,1,170.0,18.02,1.32,1867.89,143.94,703.39,5,1,1,0,35.78
2025-09-18T21:49:09.826862,91.14,54.12,47.56,4296.93,9798.92,101.07,92.14,89.8,50.07,4.72,3,0,101.52,10.99,1.93,1513.25,120.38,613.53,0,0,1,0,30.01
2025-09-18T21:49:09.826875,72.87,99.75,48.95,4701.96,8837.19,87.95,85.16,70.48,52.22,3.77,8,0,154.99,18.95,4.9,1467.93,174.43,824.99,0,0,1,0,27.9
2025-09-18T21:49:09.826888,47.19,61.93,52.47,3681.83,5617.71,102.77,87.79,52.69,53.58,4.13,5,0,125.28,12.99,2.87,1117.17,144.08,743.51,2,1,0,0,27.86
2025-09-18T21:49:09.826902,68.05,112.92,46.87,4913.49,5808.12,100.15,93.98,67.1,53.07,4.03,1,1,184.02,17.0,2.44,1719.09,142.32,724.17,2,1,0,0,30.52
2025-09-18T21:49:09.826915,71.19,100.57,42.82,3479.42,9888.05,118.36,90.85,80.62,51.9,1.87,8,1,113.72,12.01,3.68,1978.5,171.17,971.43,2,1,0,1,15.95
2025-09-18T21:49:09.826929,80.75,101.45,49.06,3048.12,5699.09,88.08,88.36,54.76,50.43,2.6,9,0,112.08,13.25,1.61,1158.26,110.62,768.36,2,1,1,0,33.78
2025-09-18T21:49:09.826942,65.36,89.64,54.81,3007.05,5270.47,118.58,87.31,68.49,50.31,1.68,3,1,167.26,15.89,1.67,1024.01,176.37,853.35,4,0,0,1,29.11
2025-09-18T21:49:09.826955,61.09,86.04,43.14,4945.49,6639.72,99.6,90.96,76.06,51.93,4.99,10,1,180.84,11.65,2.0,1688.03,131.38,754.93,5,1,0,1,27.82
2025-09-18T21:49:09.826969,42.31,102.13,48.26,3351.37,8067.88,89.11,88.41,55.82,50.74,4.01,4,0,182.25,13.15,2.94,1222.68,142.33,859.42,5,1,1,0,19.77
2025-09-18T21:49:09.826983,58.34,112.56,50.92,4576.11,9034.2,103.95,93.54,70.86,52.72,4.01,2,1,193.67,14.31,4.8,1079.6,127.68,854.87,0,1,1,1,45.31
2025-09-18T21:49:09.826996,83.82,85.96,51.6,3635.45,7654.32,95.74,87.78,87.62,53.56,3.95,2,1,191.35,17.34,3.77,1337.45,163.47,766.77,4,1,0,1,40.71
2025-09-18T21:49:09.827009,92.78,76.62,46.55,4885.77,6510.42,107.6,90.67,73.59,53.43,2.97,1,1,137.91,10.94,1.3,1777.77,140.25,736.28,1,0,0,0,46.66
2025-09-18T21:49:09.827022,84.33,61.34,55.29,3112.94,8224.67,89.42,88.45,62.36,52.12,2.31,1,0,170.54,10.84,2.65,1772.36,157.92,567.12,4,1,1,0,27.25
2025-09-18T21:49:09.827036,72.04,66.47,41.96,3492.84,6783.71,107.54,92.96,74.27,54.47,3.04,7,1,144.22,16.44,3.12,1606.21,199.93,504.07,0,1,1,1,46.35
2025-09-18T21:49:09.827049,57.43,57.45,57.76,4552.88,8815.38,80.29,90.07,56.8,52.32,4.51,10,1,144.6,16.92,2.73,1242.07,152.09,609.98,3,1,0,1,29.79
2025-09-18T21:49:09.827129,80.33,77.21,51.08,4372.25,8867.18,111.38,86.57,74.52,50.21,4.14,2,0,154.75,17.27,2.0,1789.23,158.19,923.83,3,1,0,0,11.29
2025-09-18T21:49:09.827167,81.83,110.42,52.0,4178.03,5106.93,93.77,91.06,71.81,54.51,4.88,3,1,169.17,12.54,3.36,1611.92,109.83,830.92,2,0,0,0,20.28
2025-09-18T21:49:09.827182,41.78,94.18,44.4,4591.27,9629.5,80.8,93.84,87.81,51.44,1.82,4,1,127.14,12.87,2.99,1452.28,124.28,744.69,2,1,0,1,22.82
2025-09-18T21:49:09.827196,57.63,93.78,56.89,4465.11,9486.55,111.82,88.91,79.41,53.35,1.55,8,0,141.92,19.61,3.06,1797.36,189.44,525.62,3,1,1,1,33.27
2025-09-18T21:49:09.827210,40.92,79.13,53.59,3385.52,7606.29,114.07,87.84,57.39,51.37,4.64,8,1,139.57,15.07,3.85,1796.13,194.39,695.03,2,0,0,1,42.4
2025-09-18T21:49:09.827223,92.51,115.34,51.55,4759.07,7229.21,103.57,91.97,51.75,52.5,4.7,0,0,186.8,12.93,4.48,1393.83,148.55,733.24,0,1,0,0,28.4
2025-09-18T21:49:09.827237,54.79,72.88,50.8,4205.2,6901.31,83.27,86.73,96.04,52.81,2.65,7,1,195.49,14.43,1.96,1757.47,170.7,587.95,5,0,1,1,17.49
2025-09-18T21:49:09.827251,45.31,51.2,57.96,3547.09,5541.42,87.22,94.18,77.67,50.32,2.74,6,1,145.64,14.47,4.9,1564.66,154.75,839.78,0,1,1,0,28.17
2025-09-18T21:49:09.827264,54.04,109.45,47.95,4283.75,7076.8,91.27,94.09,96.47,51.72,1.3,4,0,105.62,17.37,4.3,1055.64,156.12,565.08,5,0,0,1,33.33
2025-09-18T21:49:09.827279,88.3,107.49,47.13,4257.03,5808.73,100.24,87.45,91.42,51.34,2.0,8,1,190.39,11.99,3.76,1967.02,178.47,601.52,5,1,0,1,35.79
2025-09-18T21:49:09.827292,72.55,84.68,56.03,3711.6,5883.09,92.43,88.83,70.55,52.04,2.47,1,1,103.15,15.35,3.21,1371.99,101.81,736.81,0,0,1,0,10.7
2025-09-18T21:49:09.827306,51.42,97.57,49.82,3873.03,6458.46,96.89,86.88,72.35,51.79,3.28,5,1,178.15,14.65,3.56,1930.86,128.57,556.51,1,0,1,0,31.11
2025-09-18T21:49:09.827319,61.13,97.12,55.96,3752.55,5897.26,89.71,87.13,65.2,53.91,4.9,3,1,176.07,15.47,4.11,1686.71,158.03,967.31,2,0,1,1,47.0
2025-09-18T21:49:09.827334,80.43,64.79,56.2,3724.05,8718.47,117.66,86.21,54.08,53.55,3.67,2,0,176.32,15.49,1.19,1199.96,194.39,882.49,4,1,1,1,41.29
2025-09-18T21:49:09.827347,43.99,84.0,52.5,4051.54,7844.9,88.62,93.48,95.2,52.09,3.6,8,0,104.66,15.05,1.3,1306.46,166.11,773.18,5,0,1,1,22.08
2025-09-18T21:49:09.827360,60.67,77.12,44.87,3643.66,5277.18,107.83,90.79,65.47,54.37,3.65,8,1,161.29,12.18,2.48,1853.31,185.01,896.57,1,1,0,0,36.09
