timestamp,limestone_feed_tph,clay_feed_tph,iron_ore_feed_tph,gypsum_feed_tph,laterite_feed_tph,limestone_moisture_pct,clay_moisture_pct,avg_particle_size_mm,CaO_pct,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,crusher_power_kw,conveyor_speed_mps,CO2_emission_kgph,dust_concentration_mgpm3,crusher_status,energy_consumption_kwh,moisture_content_pct
2025-09-19 09:00:00,254.55,74.26,11.32,6.04,3.28,4.87,9.14,38.49,43.57,13.04,3.02,2.28,1.86,336.0,1.16,183.74,57.71,0,123.53,11.35
2025-09-19 10:00:00,309.59,79.42,13.78,3.8,3.47,4.27,12.23,40.77,42.57,14.67,2.69,3.24,1.64,377.78,1.26,210.81,32.63,1,130.69,14.9
2025-09-19 11:00:00,336.35,61.84,7.26,3.43,5.76,3.56,8.1,36.9,43.15,14.0,5.0,3.86,1.88,449.19,2.23,234.42,52.51,1,168.52,12.02
2025-09-19 12:00:00,349.83,55.28,14.7,3.77,3.55,5.57,12.6,36.48,43.75,13.23,4.29,3.26,1.09,443.22,1.47,159.41,72.5,0,145.94,9.03
2025-09-19 13:00:00,327.68,65.74,13.17,5.78,5.69,5.82,14.9,48.41,43.73,12.05,3.96,2.9,0.94,352.52,2.4,185.91,31.23,0,104.41,14.0
2025-09-19 14:00:00,261.86,74.8,11.76,6.87,4.42,4.11,9.7,39.43,42.49,14.32,4.36,3.68,1.22,438.33,1.07,226.2,48.2,0,117.91,13.45
2025-09-19 15:00:00,294.97,43.04,5.71,4.59,5.04,4.5,14.32,29.88,44.23,12.53,3.86,3.14,1.01,393.87,2.11,191.39,56.49,1,110.6,12.15
2025-09-19 16:00:00,334.35,64.73,13.74,7.57,2.12,5.78,11.88,37.07,43.13,14.1,2.53,3.49,1.63,403.85,2.35,161.92,53.45,1,194.55,10.64
2025-09-19 17:00:00,215.55,76.55,12.95,4.7,4.06,3.03,9.85,31.95,43.87,13.25,2.4,3.41,0.98,433.04,1.97,215.64,43.31,1,168.92,8.74
2025-09-19 18:00:00,234.86,52.56,10.18,5.8,3.39,3.28,8.72,47.31,42.35,14.93,4.37,3.61,1.0,425.56,1.31,245.16,64.54,0,145.94,7.92
2025-09-19 19:00:00,282.74,56.55,7.84,5.29,4.46,3.59,14.88,27.91,42.17,13.43,2.42,3.84,1.22,372.26,1.8,192.74,43.44,0,136.51,6.14
2025-09-19 20:00:00,339.14,45.53,14.68,5.41,4.6,3.36,12.26,30.7,42.36,13.49,2.33,3.48,1.19,443.43,1.6,154.39,35.13,1,132.43,5.75
2025-09-19 21:00:00,207.54,50.46,6.09,5.95,4.64,4.6,11.32,27.52,42.74,14.07,3.22,3.04,1.74,415.55,1.52,189.06,40.32,1,143.79,10.84
2025-09-19 22:00:00,217.97,63.14,14.74,6.24,5.3,4.0,13.88,47.82,44.67,13.75,2.73,3.66,1.95,369.62,2.09,175.75,72.42,0,191.58,6.91
2025-09-19 23:00:00,236.12,65.71,12.08,6.06,3.12,4.18,14.12,47.42,42.29,14.46,3.98,3.76,1.91,415.11,2.48,241.47,77.61,1,113.53,12.79
