timestamp,silo_level_pct,silo_pressure_mbar,silo_temp_c,aeration_airflow_nm3_hr,silo_pressure_pa,packing_machine_speed_bags_min,packing_machine_speed_bagsmin,packing_machine_efficiency_pct,packing_machine_power_kw,bag_weight_kg,bag_reject_rate_pct,rejected_bags_count,packing_machine_status,bulk_loading_rate_tph,truck_loading_time_min,inventory_turnover_rate,daily_dispatch_tonnes,dispatch_rate_tph,inventory_level_tonnes,customer_complaints_count,silo_overpressure_alarm,packing_machine_jam_alarm,truck_delay_alarm,dust_emission_mgNm3
2025-09-18T02:11:12.466208,46.67,59.33,49.29,4062.26,7794.63,92.69,110.21,89.43,90.75,50.78,1.14,4,1,239.72,26.15,0.97,2518.38,124.72,16376.61,8,1,0,1,27.59
2025-09-18T02:12:12.466208,79.24,66.41,46.72,4786.05,5402.89,86.03,95.32,86.53,60.7,49.83,1.0,3,1,156.23,27.49,0.89,3539.59,194.61,10195.32,9,1,1,0,47.71
2025-09-18T02:13:12.466208,56.42,77.3,57.83,4671.46,7691.1,109.39,111.99,93.98,74.41,49.55,1.23,3,1,216.89,26.97,1.22,3681.01,191.95,19807.22,8,0,1,0,13.36
2025-09-18T02:14:12.466208,63.57,110.68,43.63,3520.31,6636.76,98.19,93.5,93.8,63.91,50.9,1.13,0,1,151.94,23.09,1.5,2699.92,165.01,17812.33,10,0,0,0,17.97
2025-09-18T02:15:12.466208,41.12,60.67,42.52,4338.92,7819.85,88.72,107.98,92.67,58.39,50.21,1.62,0,0,246.47,16.62,0.53,2623.91,167.73,19581.73,6,0,0,0,14.08
2025-09-18T02:16:12.466208,82.49,109.52,52.01,3242.11,9919.22,111.31,93.89,89.28,68.53,50.01,1.01,3,1,160.55,29.41,1.14,3657.41,170.73,14354.87,8,1,1,1,27.42
2025-09-18T02:17:12.466208,80.21,68.79,57.03,4661.46,5433.31,115.27,89.75,89.65,80.52,49.76,0.54,2,0,198.75,20.32,0.76,2559.32,159.62,18801.07,8,0,0,0,19.65
2025-09-18T02:18:12.466208,62.35,88.86,44.81,3952.19,8559.21,97.93,80.69,87.94,70.22,49.49,1.5,2,1,205.35,20.16,1.5,3100.78,135.18,14537.45,4,1,0,0,38.85
2025-09-18T02:19:12.466208,57.36,102.0,59.02,4380.33,5957.7,109.54,91.06,90.9,88.01,50.19,1.97,1,1,172.75,17.69,0.51,3068.27,127.43,19742.95,8,1,0,1,14.1
2025-09-18T02:20:12.466208,40.67,69.9,49.57,3681.41,9827.49,90.1,114.47,86.14,53.27,49.98,1.37,5,0,165.17,27.17,1.45,2170.36,124.82,15580.73,6,0,1,1,46.34
2025-09-18T02:21:12.466208,56.35,91.2,48.58,4137.26,5301.15,118.4,83.97,92.63,81.28,49.53,0.62,1,0,205.2,17.35,0.91,3378.74,146.99,10326.4,4,1,1,0,37.5
2025-09-18T02:22:12.466208,90.82,105.15,52.5,4322.37,9668.34,97.01,101.78,91.48,95.42,50.65,0.61,1,1,209.5,27.36,1.42,2878.31,146.87,13040.91,6,1,1,1,13.22
2025-09-18T02:23:12.466208,42.19,80.24,46.45,3500.74,5456.63,118.48,113.44,90.75,97.54,51.0,1.51,2,0,226.31,17.63,1.02,2884.46,127.82,19969.45,6,1,0,1,23.92
2025-09-18T02:24:12.466208,58.33,96.91,57.15,3659.61,8468.37,91.53,117.81,93.14,77.5,49.91,0.97,2,0,247.02,21.06,1.01,3976.24,165.77,15425.94,6,0,0,1,34.91
2025-09-18T02:25:12.466208,67.42,80.94,41.03,3534.11,5655.07,91.52,115.23,89.85,51.44,50.26,1.7,5,0,181.08,15.21,0.91,2449.4,184.14,11134.61,1,0,1,1,30.35
2025-09-18T02:26:12.466208,55.04,108.43,59.6,3487.46,7756.33,95.34,116.87,90.08,93.97,50.73,0.91,3,1,243.42,22.62,1.32,2565.68,129.86,15869.38,10,1,0,1,31.54
2025-09-18T02:27:12.466208,58.98,88.63,50.87,3910.69,6608.89,87.55,107.9,90.72,61.68,50.55,0.57,5,1,220.52,27.17,0.89,3327.38,182.07,19808.18,7,0,0,1,44.79
2025-09-18T02:28:12.466208,88.08,80.82,50.52,3913.86,8612.22,96.4,106.19,86.54,73.47,50.94,1.01,5,1,214.98,27.78,1.35,3718.68,138.0,13166.61,7,0,0,0,35.25
2025-09-18T02:29:12.466208,90.65,119.82,54.94,3867.94,5492.22,105.35,114.9,89.44,84.7,50.81,0.57,0,1,185.85,21.46,0.74,2824.1,168.18,11800.57,2,0,1,0,29.91
2025-09-18T02:30:12.466208,72.07,66.25,52.76,3919.14,8334.2,115.96,98.61,87.88,77.33,49.15,1.92,4,1,213.89,21.36,0.75,3690.61,119.92,13846.93,7,0,0,1,32.88
2025-09-18T02:31:12.466208,71.61,119.49,45.9,4955.89,8291.15,90.98,102.64,91.86,87.23,49.1,1.41,3,1,227.57,18.45,1.3,2438.01,119.01,12506.27,10,0,0,0,22.36
2025-09-18T02:32:12.466208,64.25,90.57,54.65,3180.27,6475.55,109.9,87.03,86.32,76.97,50.94,1.3,2,0,175.7,27.37,0.98,3612.98,174.66,13387.15,1,1,0,0,40.17
2025-09-18T02:33:12.466208,52.41,97.34,53.49,3794.82,9228.72,102.29,83.61,88.95,63.22,49.25,1.05,5,1,208.46,27.34,1.44,2216.69,123.38,10250.25,8,1,0,0,35.42
2025-09-18T02:34:12.466208,65.53,99.08,52.98,3233.35,5226.73,81.49,119.84,86.16,61.74,50.08,1.08,2,1,208.73,25.9,1.39,3309.84,183.37,16156.52,4,0,1,0,27.74
2025-09-18T02:35:12.466208,92.28,109.88,41.99,4371.36,7722.33,119.11,94.35,88.98,59.49,49.24,1.77,3,0,216.28,24.63,1.1,2042.71,178.68,12435.69,2,0,0,0,33.46
2025-09-18T02:36:12.466208,84.72,66.31,55.49,4577.29,7979.91,91.09,119.36,94.88,77.01,50.6,0.66,0,0,151.49,26.85,0.74,2647.54,117.42,10523.99,6,0,0,1,27.93
2025-09-18T02:37:12.466208,59.91,91.56,49.04,3443.1,8075.53,109.09,116.35,91.59,65.08,50.29,0.55,3,1,192.63,16.62,1.21,2887.12,189.93,13221.12,2,0,0,1,34.97
2025-09-18T02:38:12.466208,72.2,99.85,47.62,4194.78,6474.49,100.22,97.21,92.93,55.72,50.31,1.82,4,0,193.01,28.32,0.91,3654.84,139.87,17296.13,5,1,1,1,24.97
2025-09-18T02:39:12.466208,48.4,114.61,41.34,4663.54,5466.15,83.86,109.55,93.12,77.82,50.17,1.34,2,0,191.08,28.1,1.44,2845.87,191.58,10514.46,4,1,1,0,33.12
2025-09-18T02:40:12.466208,51.7,95.97,44.48,3216.44,9226.87,94.7,110.5,90.74,90.36,50.69,1.96,4,0,210.9,24.87,1.19,2057.91,127.33,17624.1,5,1,0,0,44.79
2025-09-18T02:41:12.466208,71.15,78.05,42.84,4266.34,5153.29,109.84,88.61,89.2,67.04,49.74,1.58,4,0,238.33,17.33,1.25,2099.52,108.16,14431.13,6,1,1,1,20.93
2025-09-18T02:42:12.466208,81.52,57.97,48.6,3566.49,8392.43,99.47,106.69,85.45,69.76,50.2,0.51,2,0,226.73,26.46,0.79,2239.97,149.74,14306.55,2,1,0,1,12.88
2025-09-18T02:43:12.466208,87.4,52.96,40.37,4842.32,9310.55,103.03,102.94,92.09,70.88,49.23,0.53,2,0,230.13,24.27,1.33,3839.54,108.81,18444.84,3,1,1,0,25.83
2025-09-18T02:44:12.466208,57.07,73.77,46.66,3336.27,7552.42,84.56,100.4,94.06,67.47,50.45,1.73,1,0,160.28,18.84,0.67,2305.74,175.92,10753.53,10,1,1,1,37.25
2025-09-18T02:45:12.466208,88.51,95.01,59.73,3646.42,9854.87,92.65,97.59,89.69,81.57,50.59,1.39,2,0,181.04,21.78,0.56,3663.39,107.67,18642.5,1,1,1,0,27.99
2025-09-18T02:46:12.466208,84.54,95.63,46.43,3951.26,5754.31,82.47,84.14,93.99,67.17,50.43,1.26,1,0,174.77,21.57,0.94,3045.5,115.87,13728.52,4,1,1,1,37.16
2025-09-18T02:47:12.466208,42.88,94.16,46.69,3659.38,7789.82,95.46,90.08,93.52,98.22,50.21,0.73,0,0,241.67,19.65,1.16,3324.27,112.9,17088.34,1,1,1,1,42.53
2025-09-18T02:48:12.466208,76.86,108.03,54.78,4370.83,7631.97,105.84,96.94,88.62,68.13,49.36,0.82,3,0,172.65,17.06,0.58,3688.86,110.11,17708.75,8,0,1,0,33.89
2025-09-18T02:49:12.466208,48.48,62.66,53.86,4249.48,9513.28,108.85,81.75,88.64,85.98,50.94,1.42,5,1,173.4,18.59,1.47,3568.74,190.4,11940.16,10,1,1,1,41.12
2025-09-18T02:50:12.466208,67.66,79.31,43.24,3399.4,8023.32,114.92,82.09,89.81,68.56,50.87,1.57,4,0,178.51,26.45,0.77,3810.61,114.73,14374.73,3,1,1,0,26.6
2025-09-18T02:51:12.466208,61.8,76.18,47.72,3163.21,6122.69,92.75,83.96,92.15,66.76,49.29,0.56,3,0,225.88,22.04,1.12,3811.71,101.9,12156.55,2,1,0,1,19.51
